epoch,accuracy,loss,val_accuracy,val_loss
0,0.09638322,2.9619845853533064,0.3227248787879944,2.905824466432844
1,0.21351475,2.807215006865071,0.5034655928611755,2.545087497347877
0,0.8735941,0.4193300268195924,0.9510317444801331,0.15440342144675986
1,0.9377438,0.20619550712795215,0.9670899510383606,0.11141052254451014
2,0.9534807,0.15575631645801657,0.9386243224143982,0.18884531696006734
3,0.9611338,0.1304100592059343,0.9756613969802856,0.08326182136775324
4,0.96498865,0.119606874654758,0.9762698411941528,0.08046496086650425
5,0.9679819,0.10711024712526203,0.9770370125770569,0.08124506055204957
6,0.97035146,0.09924827409979978,0.977142870426178,0.081464557808543
7,0.97240365,0.09140312053770029,0.9791269898414612,0.07255219451886005
8,0.97375286,0.08794292862047684,0.9794179797172546,0.06977622350530019
9,0.9752494,0.08195381767760598,0.9803174734115601,0.07560788843287992
10,0.976746,0.0783196716804201,0.9807407259941101,0.0658084807146794
11,0.97732425,0.07501746683125965,0.9810581803321838,0.06994561721762968
12,0.9781519,0.07236517612218367,0.9813227653503418,0.06550400192933108
13,0.97952384,0.06826044495076009,0.9748148322105408,0.09131156046554526
14,0.9796032,0.0700989377153974,0.9803439378738403,0.07662490343842557
15,0.9796939,0.06759555816582812,0.9812169075012207,0.07046312875336125
16,0.9814966,0.063413016162686,0.9812698364257812,0.06609158364710985
17,0.98183674,0.06191207937479163,0.9823015928268433,0.0718327246389534
18,0.98121315,0.06327014560792216,0.9819047451019287,0.06628503478787563
19,0.9817914,0.06179367314973453,0.9827513098716736,0.0668871921225988
0,0.83893424,0.5807861068932648,0.9215344190597534,0.2609403706448419
1,0.9279025,0.2705293198723912,0.9507672190666199,0.1619799858394754
2,0.953254,0.18213408134962156,0.9552910327911377,0.16327242639960435
3,0.96405894,0.13808491612170018,0.9678835868835449,0.11999208187773114
4,0.97217685,0.10835902845778433,0.9733068943023682,0.1023445588610475
5,0.97810656,0.08363609343125165,0.9784391522407532,0.09692164130311795
6,0.9810998,0.07283849104732072,0.9723809361457825,0.11670208910943339
7,0.98456913,0.05807490077587753,0.9756613969802856,0.11343523965705009
8,0.98678005,0.04805497894819632,0.974841296672821,0.11697956386066619
9,0.98840135,0.043754392456001434,0.9792063236236572,0.0978167289976405
